name,concept_name,parent,source,standard_semantic_hierarchy
Hispanic,Hispanic or Latino Ethnicity Options,Hispanic or Latino Ethnicity,ACS and CPS,Yes
Non-Hispanic,Hispanic or Latino Ethnicity Options,Hispanic or Latino Ethnicity,ACS and CPS,Yes
Undisclosed,Hispanic or Latino Ethnicity Options,Hispanic or Latino Ethnicity,ACS and CPS,Yes
