name,parent,concept_name,source,standard_semantic_hierarchy
Hospitals,Health Care and Social Assistance,Subsector,2022 NAICS,Yes
Nursing and Residential Care Facilities,Health Care and Social Assistance,Subsector,2022 NAICS,Yes
Social Assistance,Health Care and Social Assistance,Subsector,2022 NAICS,Yes
"Performing Arts, Spectator Sports, and Related Industries","Arts, Entertainment, and Recreation",Subsector,2022 NAICS,Yes
"Museums, Historical Sites, and Similar Institutions","Arts, Entertainment, and Recreation",Subsector,2022 NAICS,Yes
"Amusement, Gambling, and Recreation Industries","Arts, Entertainment, and Recreation",Subsector,2022 NAICS,Yes
Accommodation,Accommodation and Food Services,Subsector,2022 NAICS,Yes
Food Services and Drinking Places,Accommodation and Food Services,Subsector,2022 NAICS,Yes
Repair and Maintenance,Other Services (except Public Administration),Subsector,2022 NAICS,Yes
Personal and Laundry Services,Other Services (except Public Administration),Subsector,2022 NAICS,Yes
"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Other Services (except Public Administration),Subsector,2022 NAICS,Yes
Private Households,Other Services (except Public Administration),Subsector,2022 NAICS,Yes
"Executive, Legislative, and Other General Government Support ",Public Administration,Subsector,2022 NAICS,Yes
"Justice, Public Order, and Safety Activities ",Public Administration,Subsector,2022 NAICS,Yes
Administration of Human Resource Programs ,Public Administration,Subsector,2022 NAICS,Yes
Administration of Environmental Quality Programs ,Public Administration,Subsector,2022 NAICS,Yes
"Administration of Housing Programs, Urban Planning, and Community Development ",Public Administration,Subsector,2022 NAICS,Yes
Administration of Economic Programs ,Public Administration,Subsector,2022 NAICS,Yes
Space Research and Technology ,Public Administration,Subsector,2022 NAICS,Yes
National Security and International Affairs ,Public Administration,Subsector,2022 NAICS,Yes
