Title_ind_group,Title_subsector
Household Appliance Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing"
Electrical Equipment Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing"
Other Electrical Equipment and Component Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing"
Motor Vehicle Manufacturing,Transportation Equipment Manufacturing
Motor Vehicle Body and Trailer Manufacturing,Transportation Equipment Manufacturing
Motor Vehicle Parts Manufacturing,Transportation Equipment Manufacturing
Aerospace Product and Parts Manufacturing,Transportation Equipment Manufacturing
Railroad Rolling Stock Manufacturing,Transportation Equipment Manufacturing
Ship and Boat Building,Transportation Equipment Manufacturing
Other Transportation Equipment Manufacturing,Transportation Equipment Manufacturing
Household and Institutional Furniture and Kitchen Cabinet Manufacturing,Furniture and Related Product Manufacturing
Office Furniture (including Fixtures) Manufacturing,Furniture and Related Product Manufacturing
Other Furniture Related Product Manufacturing,Furniture and Related Product Manufacturing
Medical Equipment and Supplies Manufacturing,Miscellaneous Manufacturing
Other Miscellaneous Manufacturing,Miscellaneous Manufacturing
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
Furniture and Home Furnishing Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
Lumber and Other Construction Materials Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
Professional and Commercial Equipment and Supplies Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
Metal and Mineral (except Petroleum) Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers ","Merchant Wholesalers, Durable Goods "
"Machinery, Equipment, and Supplies Merchant Wholesalers ","Merchant Wholesalers, Durable Goods "
Miscellaneous Durable Goods Merchant Wholesalers ,"Merchant Wholesalers, Durable Goods "
Paper and Paper Product Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
Drugs and Druggists' Sundries Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
"Apparel, Piece Goods, and Notions Merchant Wholesalers ","Merchant Wholesalers, Nondurable Goods "
Grocery and Related Product Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
Farm Product Raw Material Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
Chemical and Allied Products Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
Petroleum and Petroleum Products Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers ","Merchant Wholesalers, Nondurable Goods "
Miscellaneous Nondurable Goods Merchant Wholesalers ,"Merchant Wholesalers, Nondurable Goods "
Wholesale Trade Agents and Brokers ,Wholesale Trade Agents and Brokers 
Automobile Dealers ,Motor Vehicle and Parts Dealers 
Other Motor Vehicle Dealers ,Motor Vehicle and Parts Dealers 
"Automotive Parts, Accessories, and Tire Retailers ",Motor Vehicle and Parts Dealers 
Building Material and Supplies Dealers ,Building Material and Garden Equipment and Supplies Dealers 
Lawn and Garden Equipment and Supplies Retailers ,Building Material and Garden Equipment and Supplies Dealers 
Grocery and Convenience Retailers ,Food and Beverage Retailers 
Specialty Food Retailers ,Food and Beverage Retailers 
"Beer, Wine, and Liquor Retailers ",Food and Beverage Retailers 
Furniture and Home Furnishings Retailers ,"Furniture, Home Furnishings, Electronics, and Appliance Retailers "
Electronics and Appliance Retailers ,"Furniture, Home Furnishings, Electronics, and Appliance Retailers "
Department Stores ,General Merchandise Retailers 
"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers ",General Merchandise Retailers 
Health and Personal Care Retailers ,Health and Personal Care Retailers 
Gasoline Stations ,Gasoline Stations and Fuel Dealers 
Fuel Dealers,Gasoline Stations and Fuel Dealers 
Clothing and Clothing Accessories Retailers ,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers "
Shoe Retailers ,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers "
"Jewelry, Luggage, and Leather Goods Retailers ","Clothing, Clothing Accessories, Shoe, and Jewelry Retailers "
