name,concept_name,parent,source,standard_semantic_hierarchy
White,Pre-1994 Race Categories,None,Pre-1994 Race Standards,No
Black,Pre-1994 Race Categories,None,Pre-1994 Race Standards,No
Other,Pre-1994 Race Categories,None,Pre-1994 Race Standards,No
