fk_subsector,code,concept_name,source,standard_semantic_hierarchy
Repair and Maintenance,811,NAICS Subsector Code,2022 NAICS,No
Personal and Laundry Services,812,NAICS Subsector Code,2022 NAICS,No
"Religious, Grantmaking, Civic, Professional, and Similar Organizations",813,NAICS Subsector Code,2022 NAICS,No
Private Households,814,NAICS Subsector Code,2022 NAICS,No
"Executive, Legislative, and Other General Government Support ",921,NAICS Subsector Code,2022 NAICS,No
"Justice, Public Order, and Safety Activities ",922,NAICS Subsector Code,2022 NAICS,No
Administration of Human Resource Programs ,923,NAICS Subsector Code,2022 NAICS,No
Administration of Environmental Quality Programs ,924,NAICS Subsector Code,2022 NAICS,No
"Administration of Housing Programs, Urban Planning, and Community Development ",925,NAICS Subsector Code,2022 NAICS,No
Administration of Economic Programs ,926,NAICS Subsector Code,2022 NAICS,No
Space Research and Technology ,927,NAICS Subsector Code,2022 NAICS,No
National Security and International Affairs ,928,NAICS Subsector Code,2022 NAICS,No
