name,parent,concept_name,source,standard_semantic_hierarchy
Musicians and Singers,"Musicians, Singers, and Related Workers",Detailed Occupation,2018 SOC,Yes
"Disc Jockeys, Except Radio","Miscellaneous Entertainers and Performers, Sports and Related Workers",Detailed Occupation,2018 SOC,Yes
"Entertainers and Performers, Sports and Related Workers, All Other","Miscellaneous Entertainers and Performers, Sports and Related Workers",Detailed Occupation,2018 SOC,Yes
Broadcast Announcers and Radio Disc Jockeys,Broadcast Announcers and Radio Disc Jockeys,Detailed Occupation,2018 SOC,Yes
"News Analysts, Reporters, and Journalists","News Analysts, Reporters and Journalists",Detailed Occupation,2018 SOC,Yes
Public Relations Specialists,Public Relations Specialists,Detailed Occupation,2018 SOC,Yes
Editors,Writers and Editors,Detailed Occupation,2018 SOC,Yes
Technical Writers,Writers and Editors,Detailed Occupation,2018 SOC,Yes
Writers and Authors,Writers and Editors,Detailed Occupation,2018 SOC,Yes
Interpreters and Translators,Miscellaneous Media and Communication Workers,Detailed Occupation,2018 SOC,Yes
Court Reporters and Simultaneous Captioners,Miscellaneous Media and Communication Workers,Detailed Occupation,2018 SOC,Yes
"Media and Communication Workers, All Other",Miscellaneous Media and Communication Workers,Detailed Occupation,2018 SOC,Yes
Audio and Video Technicians,"Broadcast, Sound, and Lighting Technicians",Detailed Occupation,2018 SOC,Yes
Broadcast Technicians,"Broadcast, Sound, and Lighting Technicians",Detailed Occupation,2018 SOC,Yes
Sound Engineering Technicians,"Broadcast, Sound, and Lighting Technicians",Detailed Occupation,2018 SOC,Yes
Lighting Technicians,"Broadcast, Sound, and Lighting Technicians",Detailed Occupation,2018 SOC,Yes
Photographers,Photographers,Detailed Occupation,2018 SOC,Yes
"Camera Operators, Television, Video, and Film","Television, Video, and Film Camera Operators and Editors",Detailed Occupation,2018 SOC,Yes
Film and Video Editors,"Television, Video, and Film Camera Operators and Editors",Detailed Occupation,2018 SOC,Yes
"Media and Communication Equipment Workers, All Other",Miscellaneous Media and Communication Equipment Workers,Detailed Occupation,2018 SOC,Yes
Chiropractors,Chiropractors,Detailed Occupation,2018 SOC,Yes
"Dentists, General",Dentists,Detailed Occupation,2018 SOC,Yes
Oral and Maxillofacial Surgeons,Dentists,Detailed Occupation,2018 SOC,Yes
Orthodontists,Dentists,Detailed Occupation,2018 SOC,Yes
Prosthodontists,Dentists,Detailed Occupation,2018 SOC,Yes
"Dentists, All Other Specialists",Dentists,Detailed Occupation,2018 SOC,Yes
Dietitians and Nutritionists,Dietitians and Nutritionists,Detailed Occupation,2018 SOC,Yes
Optometrists,Optometrists,Detailed Occupation,2018 SOC,Yes
Pharmacists,Pharmacists,Detailed Occupation,2018 SOC,Yes
Physician Assistants,Physician Assistants,Detailed Occupation,2018 SOC,Yes
Podiatrists,Podiatrists,Detailed Occupation,2018 SOC,Yes
Occupational Therapists,Therapists,Detailed Occupation,2018 SOC,Yes
Physical Therapists,Therapists,Detailed Occupation,2018 SOC,Yes
Radiation Therapists,Therapists,Detailed Occupation,2018 SOC,Yes
Recreational Therapists,Therapists,Detailed Occupation,2018 SOC,Yes
Respiratory Therapists,Therapists,Detailed Occupation,2018 SOC,Yes
Speech-Language Pathologists,Therapists,Detailed Occupation,2018 SOC,Yes
Exercise Physiologists,Therapists,Detailed Occupation,2018 SOC,Yes
"Therapists, All Other",Therapists,Detailed Occupation,2018 SOC,Yes
Veterinarians,Veterinarians,Detailed Occupation,2018 SOC,Yes
Registered Nurses,Registered Nurses,Detailed Occupation,2018 SOC,Yes
Nurse Anesthetists,Nurse Anesthetists,Detailed Occupation,2018 SOC,Yes
Nurse Midwives,Nurse Midwives,Detailed Occupation,2018 SOC,Yes
Nurse Practitioners,Nurse Practitioners,Detailed Occupation,2018 SOC,Yes
Audiologists,Audiologists,Detailed Occupation,2018 SOC,Yes
Anesthesiologists,Physicians,Detailed Occupation,2018 SOC,Yes
Cardiologists,Physicians,Detailed Occupation,2018 SOC,Yes
Dermatologists,Physicians,Detailed Occupation,2018 SOC,Yes
Emergency Medicine Physicians,Physicians,Detailed Occupation,2018 SOC,Yes
Family Medicine Physicians,Physicians,Detailed Occupation,2018 SOC,Yes
General Internal Medicine Physicians,Physicians,Detailed Occupation,2018 SOC,Yes
Neurologists,Physicians,Detailed Occupation,2018 SOC,Yes
Obstetricians and Gynecologists,Physicians,Detailed Occupation,2018 SOC,Yes
"Pediatricians, General",Physicians,Detailed Occupation,2018 SOC,Yes
"Physicians, Pathologists",Physicians,Detailed Occupation,2018 SOC,Yes
Psychiatrists,Physicians,Detailed Occupation,2018 SOC,Yes
Radiologists,Physicians,Detailed Occupation,2018 SOC,Yes
"Physicians, All Other",Physicians,Detailed Occupation,2018 SOC,Yes
"Ophthalmologists, Except Pediatric",Surgeons,Detailed Occupation,2018 SOC,Yes
"Orthopedic Surgeons, Except Pediatric",Surgeons,Detailed Occupation,2018 SOC,Yes
Pediatric Surgeons,Surgeons,Detailed Occupation,2018 SOC,Yes
"Surgeons, All Other",Surgeons,Detailed Occupation,2018 SOC,Yes
Acupuncturists,Miscellaneous Healthcare Diagnosing or Treating Practitioners,Detailed Occupation,2018 SOC,Yes
Dental Hygienists,Miscellaneous Healthcare Diagnosing or Treating Practitioners,Detailed Occupation,2018 SOC,Yes
"Healthcare Diagnosing or Treating Practitioners, All Other",Miscellaneous Healthcare Diagnosing or Treating Practitioners,Detailed Occupation,2018 SOC,Yes
Medical and Clinical Laboratory Technologists,Clinical Laboratory Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Medical and Clinical Laboratory Technicians,Clinical Laboratory Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Cardiovascular Technologists and Technicians,Diagnostic Related Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Diagnostic Medical Sonographers,Diagnostic Related Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Nuclear Medicine Technologists,Diagnostic Related Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Radiologic Technologists and Technicians,Diagnostic Related Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Magnetic Resonance Imaging Technologists,Diagnostic Related Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Medical Dosimetrists,Diagnostic Related Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Emergency Medical Technicians,Emergency Medical Technicians and Paramedics,Detailed Occupation,2018 SOC,Yes
Paramedics,Emergency Medical Technicians and Paramedics,Detailed Occupation,2018 SOC,Yes
Dietetic Technicians,Health Practitioner Support Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Pharmacy Technicians,Health Practitioner Support Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Psychiatric Technicians,Health Practitioner Support Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Surgical Technologists,Health Practitioner Support Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Veterinary Technologists and Technicians,Health Practitioner Support Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Ophthalmic Medical Technicians,Health Practitioner Support Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,Detailed Occupation,2018 SOC,Yes
Medical Records Specialists,Medical Records Specialists,Detailed Occupation,2018 SOC,Yes
"Opticians, Dispensing","Opticians, Dispensing",Detailed Occupation,2018 SOC,Yes
Orthotists and Prosthetists,Miscellaneous Health Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Hearing Aid Specialists,Miscellaneous Health Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
"Health Technologists and Technicians, All Other",Miscellaneous Health Technologists and Technicians,Detailed Occupation,2018 SOC,Yes
Health Information Technologists and Medical Registrars,Health Information Technologists and Medical Registrars,Detailed Occupation,2018 SOC,Yes
Athletic Trainers,Miscellaneous Health Practitioners and Technical Workers,Detailed Occupation,2018 SOC,Yes
Genetic Counselors,Miscellaneous Health Practitioners and Technical Workers,Detailed Occupation,2018 SOC,Yes
Surgical Assistants,Miscellaneous Health Practitioners and Technical Workers,Detailed Occupation,2018 SOC,Yes
"Healthcare Practitioners and Technical Workers, All Other",Miscellaneous Health Practitioners and Technical Workers,Detailed Occupation,2018 SOC,Yes
Home Health Aides,Home Health and Personal Care Aides,Detailed Occupation,2018 SOC,Yes
Personal Care Aides,Home Health and Personal Care Aides,Detailed Occupation,2018 SOC,Yes
Nursing Assistants,"Nursing Assistants, Orderlies, and Psychiatric Aides",Detailed Occupation,2018 SOC,Yes
Orderlies,"Nursing Assistants, Orderlies, and Psychiatric Aides",Detailed Occupation,2018 SOC,Yes
Psychiatric Aides,"Nursing Assistants, Orderlies, and Psychiatric Aides",Detailed Occupation,2018 SOC,Yes
Occupational Therapy Assistants,Occupational Therapy Assistants and Aides,Detailed Occupation,2018 SOC,Yes
Occupational Therapy Aides,Occupational Therapy Assistants and Aides,Detailed Occupation,2018 SOC,Yes
Physical Therapist Assistants,Physical Therapist Assistants and Aides,Detailed Occupation,2018 SOC,Yes
Physical Therapist Aides,Physical Therapist Assistants and Aides,Detailed Occupation,2018 SOC,Yes
Massage Therapists,Massage Therapists,Detailed Occupation,2018 SOC,Yes
Dental Assistants,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
Medical Assistants,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
Medical Equipment Preparers,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
Medical Transcriptionists,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
Pharmacy Aides,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
Veterinary Assistants and Laboratory Animal Caretakers,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
Phlebotomists,Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
"Healthcare Support Workers, All Other",Miscellaneous Healthcare Support Occupations,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Correctional Officers,First-Line Supervisors of Law Enforcement Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Police and Detectives,First-Line Supervisors of Law Enforcement Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Firefighting and Prevention Workers,First-Line Supervisors of Firefighting and Prevention Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Security Workers,"Miscellaneous First-Line Supervisors, Protective Service Workers",Detailed Occupation,2018 SOC,Yes
"First-Line Supervisors of Protective Service Workers, All Other","Miscellaneous First-Line Supervisors, Protective Service Workers",Detailed Occupation,2018 SOC,Yes
Firefighters,Firefighters,Detailed Occupation,2018 SOC,Yes
Fire Inspectors and Investigators,Fire Inspectors,Detailed Occupation,2018 SOC,Yes
Forest Fire Inspectors and Prevention Specialists,Fire Inspectors,Detailed Occupation,2018 SOC,Yes
Bailiffs,"Bailiffs, Correctional Officers, and Jailers",Detailed Occupation,2018 SOC,Yes
Correctional Officers and Jailers,"Bailiffs, Correctional Officers, and Jailers",Detailed Occupation,2018 SOC,Yes
Detectives and Criminal Investigators,Detectives and Criminal Investigators,Detailed Occupation,2018 SOC,Yes
Fish and Game Wardens,Fish and Game Wardens,Detailed Occupation,2018 SOC,Yes
Parking Enforcement Workers,Parking Enforcement Workers,Detailed Occupation,2018 SOC,Yes
Police and Sheriff’s Patrol Officers,Police Officers,Detailed Occupation,2018 SOC,Yes
Transit and Railroad Police,Police Officers,Detailed Occupation,2018 SOC,Yes
Animal Control Workers,Animal Control Workers,Detailed Occupation,2018 SOC,Yes
Private Detectives and Investigators,Private Detectives and Investigators,Detailed Occupation,2018 SOC,Yes
Gambling Surveillance Officers and Gambling Investigators,Security Guards and Gambling Surveillance Officers,Detailed Occupation,2018 SOC,Yes
Security Guards,Security Guards and Gambling Surveillance Officers,Detailed Occupation,2018 SOC,Yes
Crossing Guards and Flaggers,Miscellaneous Protective Service Workers,Detailed Occupation,2018 SOC,Yes
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Miscellaneous Protective Service Workers,Detailed Occupation,2018 SOC,Yes
Transportation Security Screeners,Miscellaneous Protective Service Workers,Detailed Occupation,2018 SOC,Yes
School Bus Monitors,Miscellaneous Protective Service Workers,Detailed Occupation,2018 SOC,Yes
"Protective Service Workers, All Other",Miscellaneous Protective Service Workers,Detailed Occupation,2018 SOC,Yes
Chefs and Head Cooks,Supervisors of Food Preparation and Serving Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Food Preparation and Serving Workers,Supervisors of Food Preparation and Serving Workers,Detailed Occupation,2018 SOC,Yes
"Cooks, Fast Food",Cooks,Detailed Occupation,2018 SOC,Yes
"Cooks, Institution and Cafeteria",Cooks,Detailed Occupation,2018 SOC,Yes
"Cooks, Private Household",Cooks,Detailed Occupation,2018 SOC,Yes
"Cooks, Restaurant",Cooks,Detailed Occupation,2018 SOC,Yes
"Cooks, Short Order",Cooks,Detailed Occupation,2018 SOC,Yes
"Cooks, All Other",Cooks,Detailed Occupation,2018 SOC,Yes
Food Preparation Workers,Food Preparation Workers,Detailed Occupation,2018 SOC,Yes
Bartenders,Bartenders,Detailed Occupation,2018 SOC,Yes
Fast Food and Counter Workers,Fast Food and Counter Workers,Detailed Occupation,2018 SOC,Yes
Waiters and Waitresses,Waiters and Waitresses,Detailed Occupation,2018 SOC,Yes
"Food Servers, Nonrestaurant","Food Servers, Nonrestaurant",Detailed Occupation,2018 SOC,Yes
Dining Room and Cafeteria Attendants and Bartender Helpers,Dining Room and Cafeteria Attendants and Bartender Helpers,Detailed Occupation,2018 SOC,Yes
Dishwashers,Dishwashers,Detailed Occupation,2018 SOC,Yes
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Detailed Occupation,2018 SOC,Yes
"Food Preparation and Serving Related Workers, All Other",Miscellaneous Food Preparation and Serving Related Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Housekeeping and Janitorial Workers,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,Detailed Occupation,2018 SOC,Yes
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,Detailed Occupation,2018 SOC,Yes
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building Cleaning Workers,Detailed Occupation,2018 SOC,Yes
Maids and Housekeeping Cleaners,Building Cleaning Workers,Detailed Occupation,2018 SOC,Yes
"Building Cleaning Workers, All Other",Building Cleaning Workers,Detailed Occupation,2018 SOC,Yes
Pest Control Workers,Pest Control Workers,Detailed Occupation,2018 SOC,Yes
Landscaping and Groundskeeping Workers,Grounds Maintenance Workers,Detailed Occupation,2018 SOC,Yes
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Grounds Maintenance Workers,Detailed Occupation,2018 SOC,Yes
Tree Trimmers and Pruners,Grounds Maintenance Workers,Detailed Occupation,2018 SOC,Yes
"Grounds Maintenance Workers, All Other",Grounds Maintenance Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Gambling Services Workers,First-Line Supervisors of Entertainment and Recreation Workers,Detailed Occupation,2018 SOC,Yes
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",First-Line Supervisors of Entertainment and Recreation Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Personal Service Workers,First-Line Supervisors of Personal Service Workers,Detailed Occupation,2018 SOC,Yes
Animal Trainers,Animal Trainers,Detailed Occupation,2018 SOC,Yes
Animal Caretakers,Animal Caretakers,Detailed Occupation,2018 SOC,Yes
Gambling Dealers,Gambling Services Workers,Detailed Occupation,2018 SOC,Yes
Gambling and Sports Book Writers and Runners,Gambling Services Workers,Detailed Occupation,2018 SOC,Yes
"Gambling Service Workers, All Other",Gambling Services Workers,Detailed Occupation,2018 SOC,Yes
Motion Picture Projectionists,Motion Picture Projectionists,Detailed Occupation,2018 SOC,Yes
"Ushers, Lobby Attendants, and Ticket Takers","Ushers, Lobby Attendants, and Ticket Takers",Detailed Occupation,2018 SOC,Yes
Amusement and Recreation Attendants,Miscellaneous Entertainment Attendants and Related Workers,Detailed Occupation,2018 SOC,Yes
Costume Attendants,Miscellaneous Entertainment Attendants and Related Workers,Detailed Occupation,2018 SOC,Yes
"Locker Room, Coatroom, and Dressing Room Attendants",Miscellaneous Entertainment Attendants and Related Workers,Detailed Occupation,2018 SOC,Yes
"Entertainment Attendants and Related Workers, All Other",Miscellaneous Entertainment Attendants and Related Workers,Detailed Occupation,2018 SOC,Yes
Embalmers,Embalmers and Crematory Operators,Detailed Occupation,2018 SOC,Yes
Crematory Operators,Embalmers and Crematory Operators,Detailed Occupation,2018 SOC,Yes
Funeral Attendants,Funeral Attendants,Detailed Occupation,2018 SOC,Yes
"Morticians, Undertakers, and Funeral Arrangers","Morticians, Undertakers, and Funeral Arrangers",Detailed Occupation,2018 SOC,Yes
Barbers,"Barbers, Hairdressers, Hairstylists and Cosmetologists",Detailed Occupation,2018 SOC,Yes
"Hairdressers, Hairstylists, and Cosmetologists","Barbers, Hairdressers, Hairstylists and Cosmetologists",Detailed Occupation,2018 SOC,Yes
"Makeup Artists, Theatrical and Performance",Miscellaneous Personal Appearance Workers,Detailed Occupation,2018 SOC,Yes
Manicurists and Pedicurists,Miscellaneous Personal Appearance Workers,Detailed Occupation,2018 SOC,Yes
Shampooers,Miscellaneous Personal Appearance Workers,Detailed Occupation,2018 SOC,Yes
Skincare Specialists,Miscellaneous Personal Appearance Workers,Detailed Occupation,2018 SOC,Yes
Baggage Porters and Bellhops,"Baggage Porters, Bellhops, and Concierges",Detailed Occupation,2018 SOC,Yes
Concierges,"Baggage Porters, Bellhops, and Concierges",Detailed Occupation,2018 SOC,Yes
Tour Guides and Escorts,Tour and Travel Guides,Detailed Occupation,2018 SOC,Yes
Travel Guides,Tour and Travel Guides,Detailed Occupation,2018 SOC,Yes
Childcare Workers,Childcare Workers,Detailed Occupation,2018 SOC,Yes
Exercise Trainers and Group Fitness Instructors,Recreation and Fitness Workers,Detailed Occupation,2018 SOC,Yes
Recreation Workers,Recreation and Fitness Workers,Detailed Occupation,2018 SOC,Yes
Residential Advisors,Residential Advisors,Detailed Occupation,2018 SOC,Yes
"Personal Care and Service Workers, All Other",Miscellaneous Personal Care and Service Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Retail Sales Workers,First-Line Supervisors of Sales Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Non-Retail Sales Workers,First-Line Supervisors of Sales Workers,Detailed Occupation,2018 SOC,Yes
Cashiers,Cashiers,Detailed Occupation,2018 SOC,Yes
Gambling Change Persons and Booth Cashiers,Cashiers,Detailed Occupation,2018 SOC,Yes
Counter and Rental Clerks,Counter and Rental Clerks and Parts Salespersons,Detailed Occupation,2018 SOC,Yes
Parts Salespersons,Counter and Rental Clerks and Parts Salespersons,Detailed Occupation,2018 SOC,Yes
Retail Salespersons,Retail Salespersons,Detailed Occupation,2018 SOC,Yes
Advertising Sales Agents,Advertising Sales Agents,Detailed Occupation,2018 SOC,Yes
Insurance Sales Agents,Insurance Sales Agents,Detailed Occupation,2018 SOC,Yes
"Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents",Detailed Occupation,2018 SOC,Yes
Travel Agents,Travel Agents,Detailed Occupation,2018 SOC,Yes
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","Miscellaneous Sales Representatives, Services",Detailed Occupation,2018 SOC,Yes
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing",Detailed Occupation,2018 SOC,Yes
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing",Detailed Occupation,2018 SOC,Yes
Demonstrators and Product Promoters,"Models, Demonstrators, and Product Promoters",Detailed Occupation,2018 SOC,Yes
Models,"Models, Demonstrators, and Product Promoters",Detailed Occupation,2018 SOC,Yes
Real Estate Brokers,Real Estate Brokers and Sales Agents,Detailed Occupation,2018 SOC,Yes
Real Estate Sales Agents,Real Estate Brokers and Sales Agents,Detailed Occupation,2018 SOC,Yes
Sales Engineers,Sales Engineers,Detailed Occupation,2018 SOC,Yes
Telemarketers,Telemarketers,Detailed Occupation,2018 SOC,Yes
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Miscellaneous Sales and Related Workers,Detailed Occupation,2018 SOC,Yes
"Sales and Related Workers, All Other",Miscellaneous Sales and Related Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,Detailed Occupation,2018 SOC,Yes
"Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service",Detailed Occupation,2018 SOC,Yes
Telephone Operators,Telephone Operators,Detailed Occupation,2018 SOC,Yes
"Communications Equipment Operators, All Other",Miscellaneous Communications Equipment Operators,Detailed Occupation,2018 SOC,Yes
Bill and Account Collectors,Bill and Account Collectors,Detailed Occupation,2018 SOC,Yes
Billing and Posting Clerks,Billing and Posting Clerks,Detailed Occupation,2018 SOC,Yes
"Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks",Detailed Occupation,2018 SOC,Yes
Gambling Cage Workers,Gambling Cage Workers,Detailed Occupation,2018 SOC,Yes
Payroll and Timekeeping Clerks,Payroll and Timekeeping Clerks,Detailed Occupation,2018 SOC,Yes
Procurement Clerks,Procurement Clerks,Detailed Occupation,2018 SOC,Yes
Tellers,Tellers,Detailed Occupation,2018 SOC,Yes
"Financial Clerks, All Other",Miscellaneous Financial Clerks,Detailed Occupation,2018 SOC,Yes
Brokerage Clerks,Brokerage Clerks,Detailed Occupation,2018 SOC,Yes
Correspondence Clerks,Correspondence Clerks,Detailed Occupation,2018 SOC,Yes
"Court, Municipal, and License Clerks","Court, Municipal, and License Clerks",Detailed Occupation,2018 SOC,Yes
"Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks",Detailed Occupation,2018 SOC,Yes
Customer Service Representatives,Customer Service Representatives,Detailed Occupation,2018 SOC,Yes
"Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Programs",Detailed Occupation,2018 SOC,Yes
File Clerks,File Clerks,Detailed Occupation,2018 SOC,Yes
"Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, and Resort Desk Clerks",Detailed Occupation,2018 SOC,Yes
"Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan",Detailed Occupation,2018 SOC,Yes
"Library Assistants, Clerical","Library Assistants, Clerical",Detailed Occupation,2018 SOC,Yes
Loan Interviewers and Clerks,Loan Interviewers and Clerks,Detailed Occupation,2018 SOC,Yes
New Accounts Clerks,New Accounts Clerks,Detailed Occupation,2018 SOC,Yes
Order Clerks,Order Clerks,Detailed Occupation,2018 SOC,Yes
"Human Resources Assistants, Except Payroll and Timekeeping","Human Resources Assistants, Except Payroll and Timekeeping",Detailed Occupation,2018 SOC,Yes
Receptionists and Information Clerks,Receptionists and Information Clerks,Detailed Occupation,2018 SOC,Yes
Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,Detailed Occupation,2018 SOC,Yes
"Information and Record Clerks, All Other",Miscellaneous Information and Record Clerks,Detailed Occupation,2018 SOC,Yes
Cargo and Freight Agents,Cargo and Freight Agents,Detailed Occupation,2018 SOC,Yes
Couriers and Messengers,Couriers and Messengers,Detailed Occupation,2018 SOC,Yes
Public Safety Telecommunicators,Dispatchers,Detailed Occupation,2018 SOC,Yes
"Dispatchers, Except Police, Fire, and Ambulance",Dispatchers,Detailed Occupation,2018 SOC,Yes
"Meter Readers, Utilities","Meter Readers, Utilities",Detailed Occupation,2018 SOC,Yes
Postal Service Clerks,Postal Service Workers,Detailed Occupation,2018 SOC,Yes
Postal Service Mail Carriers,Postal Service Workers,Detailed Occupation,2018 SOC,Yes
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Postal Service Workers,Detailed Occupation,2018 SOC,Yes
"Production, Planning, and Expediting Clerks","Production, Planning, and Expediting Clerks",Detailed Occupation,2018 SOC,Yes
"Shipping, Receiving, and Inventory Clerks","Shipping, Receiving, and Inventory Clerks",Detailed Occupation,2018 SOC,Yes
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Detailed Occupation,2018 SOC,Yes
Executive Secretaries and Executive Administrative Assistants,Secretaries and Administrative Assistants,Detailed Occupation,2018 SOC,Yes
Legal Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Detailed Occupation,2018 SOC,Yes
Medical Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Detailed Occupation,2018 SOC,Yes
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Secretaries and Administrative Assistants,Detailed Occupation,2018 SOC,Yes
Data Entry Keyers,Data Entry and Information Processing Workers,Detailed Occupation,2018 SOC,Yes
Word Processors and Typists,Data Entry and Information Processing Workers,Detailed Occupation,2018 SOC,Yes
Desktop Publishers,Desktop Publishers,Detailed Occupation,2018 SOC,Yes
Insurance Claims and Policy Processing Clerks,Insurance Claims and Policy Processing Clerks,Detailed Occupation,2018 SOC,Yes
"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",Detailed Occupation,2018 SOC,Yes
"Office Clerks, General","Office Clerks, General",Detailed Occupation,2018 SOC,Yes
"Office Machine Operators, Except Computer","Office Machine Operators, Except Computer",Detailed Occupation,2018 SOC,Yes
Proofreaders and Copy Markers,Proofreaders and Copy Markers,Detailed Occupation,2018 SOC,Yes
Statistical Assistants,Statistical Assistants,Detailed Occupation,2018 SOC,Yes
"Office and Administrative Support Workers, All Other",Miscellaneous Office and Administrative Support Workers,Detailed Occupation,2018 SOC,Yes
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, and Forestry Workers",Detailed Occupation,2018 SOC,Yes
Agricultural Inspectors,Agricultural Inspectors,Detailed Occupation,2018 SOC,Yes
Animal Breeders,Animal Breeders,Detailed Occupation,2018 SOC,Yes
"Graders and Sorters, Agricultural Products","Graders and Sorters, Agricultural Products",Detailed Occupation,2018 SOC,Yes
Agricultural Equipment Operators,Miscellaneous Agricultural Workers,Detailed Occupation,2018 SOC,Yes
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Miscellaneous Agricultural Workers,Detailed Occupation,2018 SOC,Yes
"Farmworkers, Farm, Ranch, and Aquacultural Animals",Miscellaneous Agricultural Workers,Detailed Occupation,2018 SOC,Yes
"Agricultural Workers, All Other",Miscellaneous Agricultural Workers,Detailed Occupation,2018 SOC,Yes
Fishing and Hunting Workers,Fishing and Hunting Workers,Detailed Occupation,2018 SOC,Yes
Forest and Conservation Workers,Forest and Conservation Workers,Detailed Occupation,2018 SOC,Yes
Fallers,Logging Workers,Detailed Occupation,2018 SOC,Yes
Logging Equipment Operators,Logging Workers,Detailed Occupation,2018 SOC,Yes
Log Graders and Scalers,Logging Workers,Detailed Occupation,2018 SOC,Yes
"Logging Workers, All Other",Logging Workers,Detailed Occupation,2018 SOC,Yes
First-Line Supervisors of Construction Trades and Extraction Workers,First-Line Supervisors of Construction Trades and Extraction Workers,Detailed Occupation,2018 SOC,Yes
Boilermakers,Boilermakers,Detailed Occupation,2018 SOC,Yes
Brickmasons and Blockmasons,"Brickmasons, Blockmasons, and Stonemasons",Detailed Occupation,2018 SOC,Yes
Stonemasons,"Brickmasons, Blockmasons, and Stonemasons",Detailed Occupation,2018 SOC,Yes
