name,parent,concept_name,source,standard_semantic_hierarchy
"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners, Collectors and Preparers, and Revenue Agents",Detailed Occupation,2018 SOC,Yes
Tax Preparers,"Tax Examiners, Collectors and Preparers, and Revenue Agents",Detailed Occupation,2018 SOC,Yes
"Financial Specialists, All Other",Miscellaneous Financial Specialists,Detailed Occupation,2018 SOC,Yes
Computer Systems Analysts,Computer and Information Analysts,Detailed Occupation,2018 SOC,Yes
Information Security Analysts,Computer and Information Analysts,Detailed Occupation,2018 SOC,Yes
Computer and Information Research Scientists,Computer and Information Research Scientists,Detailed Occupation,2018 SOC,Yes
Computer Network Support Specialists,Computer Support Specialists,Detailed Occupation,2018 SOC,Yes
Computer User Support Specialists,Computer Support Specialists,Detailed Occupation,2018 SOC,Yes
Computer Network Architects,Database and Network Administrators and Architects,Detailed Occupation,2018 SOC,Yes
Database Administrators,Database and Network Administrators and Architects,Detailed Occupation,2018 SOC,Yes
Database Architects,Database and Network Administrators and Architects,Detailed Occupation,2018 SOC,Yes
Network and Computer Systems Administrators,Database and Network Administrators and Architects,Detailed Occupation,2018 SOC,Yes
Computer Programmers,"Software and Web Developers, Programmers, and Testers",Detailed Occupation,2018 SOC,Yes
Software Developers,"Software and Web Developers, Programmers, and Testers",Detailed Occupation,2018 SOC,Yes
Software Quality Assurance Analysts and Testers,"Software and Web Developers, Programmers, and Testers",Detailed Occupation,2018 SOC,Yes
Web Developers,"Software and Web Developers, Programmers, and Testers",Detailed Occupation,2018 SOC,Yes
Web and Digital Interface Designers,"Software and Web Developers, Programmers, and Testers",Detailed Occupation,2018 SOC,Yes
"Computer Occupations, All Other",Miscellaneous Computer Occupations,Detailed Occupation,2018 SOC,Yes
Actuaries,Actuaries,Detailed Occupation,2018 SOC,Yes
Mathematicians,Mathematicians,Detailed Occupation,2018 SOC,Yes
Operations Research Analysts,Operations Research Analysts,Detailed Occupation,2018 SOC,Yes
Statisticians,Statisticians,Detailed Occupation,2018 SOC,Yes
Data Scientists,Data Scientists,Detailed Occupation,2018 SOC,Yes
"Mathematical Science Occupations, All Other",Miscellaneous Mathematical Science Occupations,Detailed Occupation,2018 SOC,Yes
"Architects, Except Landscape and Naval","Architects, Except Naval",Detailed Occupation,2018 SOC,Yes
Landscape Architects,"Architects, Except Naval",Detailed Occupation,2018 SOC,Yes
Cartographers and Photogrammetrists,"Surveyors, Cartographers, and Photogrammetrists",Detailed Occupation,2018 SOC,Yes
Surveyors,"Surveyors, Cartographers, and Photogrammetrists",Detailed Occupation,2018 SOC,Yes
Aerospace Engineers,Aerospace Engineers,Detailed Occupation,2018 SOC,Yes
Agricultural Engineers,Agricultural Engineers,Detailed Occupation,2018 SOC,Yes
Bioengineers and Biomedical Engineers,Bioengineers and Biomedical Engineers,Detailed Occupation,2018 SOC,Yes
Chemical Engineers,Chemical Engineers,Detailed Occupation,2018 SOC,Yes
Civil Engineers,Civil Engineers,Detailed Occupation,2018 SOC,Yes
Computer Hardware Engineers,Computer Hardware Engineers,Detailed Occupation,2018 SOC,Yes
Electrical Engineers,Electrical and Electronics Engineers,Detailed Occupation,2018 SOC,Yes
"Electronics Engineers, Except Computer",Electrical and Electronics Engineers,Detailed Occupation,2018 SOC,Yes
Environmental Engineers,Environmental Engineers,Detailed Occupation,2018 SOC,Yes
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Industrial Engineers, Including Health and Safety",Detailed Occupation,2018 SOC,Yes
Industrial Engineers,"Industrial Engineers, Including Health and Safety",Detailed Occupation,2018 SOC,Yes
Marine Engineers and Naval Architects,Marine Engineers and Naval Architects,Detailed Occupation,2018 SOC,Yes
Materials Engineers,Materials Engineers,Detailed Occupation,2018 SOC,Yes
Mechanical Engineers,Mechanical Engineers,Detailed Occupation,2018 SOC,Yes
"Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers",Detailed Occupation,2018 SOC,Yes
Nuclear Engineers,Nuclear Engineers,Detailed Occupation,2018 SOC,Yes
Petroleum Engineers,Petroleum Engineers,Detailed Occupation,2018 SOC,Yes
"Engineers, All Other",Miscellaneous Engineers,Detailed Occupation,2018 SOC,Yes
Architectural and Civil Drafters,Drafters,Detailed Occupation,2018 SOC,Yes
Electrical and Electronics Drafters,Drafters,Detailed Occupation,2018 SOC,Yes
Mechanical Drafters,Drafters,Detailed Occupation,2018 SOC,Yes
"Drafters, All Other",Drafters,Detailed Occupation,2018 SOC,Yes
Aerospace Engineering and Operations Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Civil Engineering Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Electrical and Electronic Engineering Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Electro-Mechanical and Mechatronics Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Environmental Engineering Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Industrial Engineering Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Mechanical Engineering Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Calibration Technologists and Technicians,"Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
"Engineering Technologists and Technicians, Except Drafters, All Other","Engineering Technologists and Technicians, Except Drafters",Detailed Occupation,2018 SOC,Yes
Surveying and Mapping Technicians,Surveying and Mapping Technicians,Detailed Occupation,2018 SOC,Yes
Animal Scientists,Agricultural and Food Scientists,Detailed Occupation,2018 SOC,Yes
Food Scientists and Technologists,Agricultural and Food Scientists,Detailed Occupation,2018 SOC,Yes
Soil and Plant Scientists,Agricultural and Food Scientists,Detailed Occupation,2018 SOC,Yes
Biochemists and Biophysicists,Biological Scientists,Detailed Occupation,2018 SOC,Yes
Microbiologists,Biological Scientists,Detailed Occupation,2018 SOC,Yes
Zoologists and Wildlife Biologists,Biological Scientists,Detailed Occupation,2018 SOC,Yes
"Biological Scientists, All Other",Biological Scientists,Detailed Occupation,2018 SOC,Yes
Conservation Scientists,Conservation Scientists and Foresters,Detailed Occupation,2018 SOC,Yes
Foresters,Conservation Scientists and Foresters,Detailed Occupation,2018 SOC,Yes
Epidemiologists,Medical Scientists,Detailed Occupation,2018 SOC,Yes
"Medical Scientists, Except Epidemiologists",Medical Scientists,Detailed Occupation,2018 SOC,Yes
"Life Scientists, All Other",Miscellaneous Life Scientists,Detailed Occupation,2018 SOC,Yes
Astronomers,Astronomers and Physicists,Detailed Occupation,2018 SOC,Yes
Physicists,Astronomers and Physicists,Detailed Occupation,2018 SOC,Yes
Atmospheric and Space Scientists,Atmospheric and Space Scientists,Detailed Occupation,2018 SOC,Yes
Chemists,Chemists and Materials Scientists,Detailed Occupation,2018 SOC,Yes
Materials Scientists,Chemists and Materials Scientists,Detailed Occupation,2018 SOC,Yes
"Environmental Scientists and Specialists, Including Health",Environmental Scientists and Geoscientists,Detailed Occupation,2018 SOC,Yes
"Geoscientists, Except Hydrologists and Geographers",Environmental Scientists and Geoscientists,Detailed Occupation,2018 SOC,Yes
Hydrologists,Environmental Scientists and Geoscientists,Detailed Occupation,2018 SOC,Yes
"Physical Scientists, All Other",Miscellaneous Physical Scientists,Detailed Occupation,2018 SOC,Yes
Economists,Economists,Detailed Occupation,2018 SOC,Yes
Survey Researchers,Survey Researchers,Detailed Occupation,2018 SOC,Yes
Industrial-Organizational Psychologists,Psychologists,Detailed Occupation,2018 SOC,Yes
Clinical and Counseling Psychologists,Psychologists,Detailed Occupation,2018 SOC,Yes
School Psychologists,Psychologists,Detailed Occupation,2018 SOC,Yes
"Psychologists, All Other",Psychologists,Detailed Occupation,2018 SOC,Yes
Sociologists,Sociologists,Detailed Occupation,2018 SOC,Yes
Urban and Regional Planners,Urban and Regional Planners,Detailed Occupation,2018 SOC,Yes
Anthropologists and Archeologists,Miscellaneous Social Scientists and Related Workers,Detailed Occupation,2018 SOC,Yes
Geographers,Miscellaneous Social Scientists and Related Workers,Detailed Occupation,2018 SOC,Yes
Historians,Miscellaneous Social Scientists and Related Workers,Detailed Occupation,2018 SOC,Yes
Political Scientists,Miscellaneous Social Scientists and Related Workers,Detailed Occupation,2018 SOC,Yes
