name,concept_name,parent,source,standard_semantic_hierarchy
"Mexican, Mexican American, or Chicano",Hispanic Details,Hispanic,ACS and CPS,Yes
Puerto Rican,Hispanic Details,Hispanic,ACS and CPS,Yes
Cuban or Cuban American,Hispanic Details,Hispanic,ACS and CPS,Yes
Other,Hispanic Details,Hispanic,ACS and CPS,Yes
